level,model,condition,outer_seed,folds_total,folds_with_ac,folds_with_auroc,ac_auroc,auroc,eligible_pairs,positives,negatives,participating_positives,participating_negatives,ac_repeat_min,ac_repeat_max,ac_repeat_sd
repeat,p3_demo10,cross_site,17,3,3,3,0.5624455410456244,0.7657099995053098,150.66666666666666,17.666666666666668,226.66666666666666,15.333333333333334,111.0,N/A,N/A,N/A
repeat,p3_demo10,site_I0002,17,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p3_demo10,site_I0006,17,3,3,3,0.662878787878788,0.7650440917107583,15.666666666666666,4.333333333333333,35.666666666666664,4.0,14.333333333333334,N/A,N/A,N/A
repeat,p3_demo10,site_S0001,17,3,3,3,0.5917350997873077,0.7684462686277951,292.6666666666667,13.333333333333334,191.0,13.333333333333334,136.66666666666666,N/A,N/A,N/A
repeat,p3_compact30,overall,17,3,3,3,0.5621307692532382,0.7545936316884448,459.0,17.666666666666668,226.66666666666666,17.666666666666668,168.66666666666666,N/A,N/A,N/A
repeat,p3_compact30,same_site,17,3,3,3,0.5090269003837095,0.738708891637366,308.3333333333333,17.666666666666668,226.66666666666666,17.333333333333332,151.0,N/A,N/A,N/A
repeat,p3_compact30,cross_site,17,3,3,3,0.6714019616330763,0.7855829955812501,150.66666666666666,17.666666666666668,226.66666666666666,15.333333333333334,111.0,N/A,N/A,N/A
repeat,p3_compact30,site_I0002,17,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p3_compact30,site_I0006,17,3,3,3,0.7234848484848485,0.8009171075837743,15.666666666666666,4.333333333333333,35.666666666666664,4.0,14.333333333333334,N/A,N/A,N/A
repeat,p3_compact30,site_S0001,17,3,3,3,0.4954483180155824,0.7347284632545583,292.6666666666667,13.333333333333334,191.0,13.333333333333334,136.66666666666666,N/A,N/A,N/A
repeat,p3_compact35,overall,17,3,3,3,0.5537071832123237,0.7526911992927389,459.0,17.666666666666668,226.66666666666666,17.666666666666668,168.66666666666666,N/A,N/A,N/A
repeat,p3_compact35,same_site,17,3,3,3,0.5016400121103947,0.7367241739634552,308.3333333333333,17.666666666666668,226.66666666666666,17.333333333333332,151.0,N/A,N/A,N/A
