model,outer_seed,fold,condition,ac_auroc,eligible_pairs,positives,negatives,participating_positives,participating_negatives,auroc,auroc_pairs,source_file
p3_demo10,7,2,overall,0.616871704745167,569,19,225,18,200,0.7265497076023392,4275,output/p3_v2/cv/seed7/fold2/P3_demo10_holdout.csv
p3_demo10,7,2,same_site,0.6528436018957346,422,19,225,18,177,0.7378967617826226,3119,output/p3_v2/cv/seed7/fold2/P3_demo10_holdout.csv
p3_demo10,7,2,cross_site,0.5136054421768708,147,19,225,18,81,0.6959342560553633,1156,output/p3_v2/cv/seed7/fold2/P3_demo10_holdout.csv
p3_demo10,7,2,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed7/fold2/P3_demo10_holdout.csv
p3_demo10,7,2,site_I0006,0.3,10,3,37,2,8,0.6486486486486487,111,output/p3_v2/cv/seed7/fold2/P3_demo10_holdout.csv
p3_demo10,7,2,site_S0001,0.6614077669902912,412,16,188,16,169,0.7411901595744681,3008,output/p3_v2/cv/seed7/fold2/P3_demo10_holdout.csv
p3_compact30,7,2,overall,0.5377855887521968,569,19,225,18,200,0.6907602339181287,4275,output/p3_v2/cv/seed7/fold2/P3_compact30_holdout.csv
p3_compact30,7,2,same_site,0.523696682464455,422,19,225,18,177,0.6870791920487336,3119,output/p3_v2/cv/seed7/fold2/P3_compact30_holdout.csv
p3_compact30,7,2,cross_site,0.5782312925170068,147,19,225,18,81,0.7006920415224913,1156,output/p3_v2/cv/seed7/fold2/P3_compact30_holdout.csv
p3_compact30,7,2,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed7/fold2/P3_compact30_holdout.csv
p3_compact30,7,2,site_I0006,0.5,10,3,37,2,8,0.7297297297297297,111,output/p3_v2/cv/seed7/fold2/P3_compact30_holdout.csv
p3_compact30,7,2,site_S0001,0.5242718446601942,412,16,188,16,169,0.6855053191489362,3008,output/p3_v2/cv/seed7/fold2/P3_compact30_holdout.csv
p3_compact35,7,2,overall,0.5377855887521968,569,19,225,18,200,0.6907602339181287,4275,output/p3_v2/cv/seed7/fold2/P3_compact35_holdout.csv
p3_compact35,7,2,same_site,0.523696682464455,422,19,225,18,177,0.6870791920487336,3119,output/p3_v2/cv/seed7/fold2/P3_compact35_holdout.csv
p3_compact35,7,2,cross_site,0.5782312925170068,147,19,225,18,81,0.7006920415224913,1156,output/p3_v2/cv/seed7/fold2/P3_compact35_holdout.csv
p3_compact35,7,2,site_I0002,N/A,0,0,0,0,0,N/A,0,output/p3_v2/cv/seed7/fold2/P3_compact35_holdout.csv
p3_compact35,7,2,site_I0006,0.5,10,3,37,2,8,0.7297297297297297,111,output/p3_v2/cv/seed7/fold2/P3_compact35_holdout.csv
p3_compact35,7,2,site_S0001,0.5242718446601942,412,16,188,16,169,0.6855053191489362,3008,output/p3_v2/cv/seed7/fold2/P3_compact35_holdout.csv
p3_global59,7,2,overall,0.5764499121265377,569,19,225,18,200,0.7076023391812866,4275,output/p3_v2/cv/seed7/fold2/P3_global59_holdout.csv
p3_global59,7,2,same_site,0.5592417061611374,422,19,225,18,177,0.7043924334722668,3119,output/p3_v2/cv/seed7/fold2/P3_global59_holdout.csv
p3_global59,7,2,cross_site,0.6258503401360545,147,19,225,18,81,0.7162629757785467,1156,output/p3_v2/cv/seed7/fold2/P3_global59_holdout.csv
