holdout_site,seed,feature,coefficient
I0006,27,caisr_sleep_n1_pct,-0.5213724063714714
I0006,27,caisr_sleep_n2_pct,-0.5010946072050614
I0006,27,caisr_sleep_n3_pct,-0.5035511457574884
I0006,27,caisr_sleep_rem_pct,-0.43541624277228397
I0006,27,caisr_sleep_transition_rate,-0.1258722364673043
I0006,27,caisr_sleep_short_bout_ratio,0.14133504394991206
I0006,27,caisr_sleep_mean_stage_entropy,0.6730758541127172
I0006,27,caisr_arousal_arousal_index,-0.12222525456116719
I0006,27,caisr_arousal_arousal_burden_ratio,-0.38476709625613653
I0006,27,caisr_arousal_mean_arousal_duration,0.28524325579143806
I0006,27,caisr_respiratory_respiratory_event_index,0.1317446865545526
I0006,27,caisr_respiratory_respiratory_burden_ratio,-0.18503196876436268
I0006,27,caisr_respiratory_mean_resp_duration,-0.055186884556190086
I0006,27,caisr_limb_limb_movement_index,0.4559187608685919
I0006,27,caisr_limb_plmi,-0.16838589008488974
I0006,37,age,1.134383310171016
I0006,37,sex_Female,-0.08162200650073127
I0006,37,sex_Male,0.08162200650072882
I0006,37,sex_OtherUnknown,0.0
I0006,37,race_Asian,-0.05695078438204523
I0006,37,race_Black,0.08366434386543037
I0006,37,race_Others,-0.028972128510725597
I0006,37,race_Unavailable,0.04316686783433934
I0006,37,race_White,-0.03304471085128278
I0006,37,BMI,-0.0651686792162734
I0006,37,caisr_sleep_tst_sec,-0.00896012286635562
I0006,37,caisr_sleep_se,-0.0216930138314449
I0006,37,caisr_sleep_sol_sec,0.009877109987138415
I0006,37,caisr_sleep_rem_latency_sec,0.061008199092178014
I0006,37,caisr_sleep_waso_sec,0.24815374084377553
I0006,37,caisr_sleep_n1_pct,-0.5767996887166162
I0006,37,caisr_sleep_n2_pct,-0.5664438767213226
I0006,37,caisr_sleep_n3_pct,-0.5222464554628293
I0006,37,caisr_sleep_rem_pct,-0.4978181097659489
I0006,37,caisr_sleep_transition_rate,-0.13400698843036557
I0006,37,caisr_sleep_short_bout_ratio,0.10914611684742033
I0006,37,caisr_sleep_mean_stage_entropy,0.6758438450029085
I0006,37,caisr_arousal_arousal_index,-0.05381341824496687
I0006,37,caisr_arousal_arousal_burden_ratio,-0.4688886208004452
I0006,37,caisr_arousal_mean_arousal_duration,0.2923363704735188
I0006,37,caisr_respiratory_respiratory_event_index,0.14467413174106178
I0006,37,caisr_respiratory_respiratory_burden_ratio,-0.12043586319900422
I0006,37,caisr_respiratory_mean_resp_duration,-0.05718083049243522
I0006,37,caisr_limb_limb_movement_index,0.4880811978691516
I0006,37,caisr_limb_plmi,-0.19468892637454926
I0006,47,age,1.1200216037450053
I0006,47,sex_Female,-0.09024474456166648
I0006,47,sex_Male,0.09024474456166565
I0006,47,sex_OtherUnknown,0.0
I0006,47,race_Asian,-0.06975005515647682
I0006,47,race_Black,0.09196721521203335
I0006,47,race_Others,-0.03766361847020625
I0006,47,race_Unavailable,0.045540064549389615
I0006,47,race_White,-0.02906588515822073
I0006,47,BMI,-0.0611360800995443
I0006,47,caisr_sleep_tst_sec,-0.015026826293791963
I0006,47,caisr_sleep_se,-0.07782176669812516
I0006,47,caisr_sleep_sol_sec,-0.01064900830925178
I0006,47,caisr_sleep_rem_latency_sec,0.06882673644306292
I0006,47,caisr_sleep_waso_sec,0.202084098034345
I0006,47,caisr_sleep_n1_pct,-0.5422672258837515
I0006,47,caisr_sleep_n2_pct,-0.4948214722374375
I0006,47,caisr_sleep_n3_pct,-0.4941129489846754
I0006,47,caisr_sleep_rem_pct,-0.44880932128179607
I0006,47,caisr_sleep_transition_rate,-0.0723435545319003
I0006,47,caisr_sleep_short_bout_ratio,0.08243876424452493
I0006,47,caisr_sleep_mean_stage_entropy,0.6426513814776509
I0006,47,caisr_arousal_arousal_index,-0.07536042880590808
I0006,47,caisr_arousal_arousal_burden_ratio,-0.43022363679630493
I0006,47,caisr_arousal_mean_arousal_duration,0.2881708600525354
I0006,47,caisr_respiratory_respiratory_event_index,0.11909281040667184
I0006,47,caisr_respiratory_respiratory_burden_ratio,-0.144503343924282
I0006,47,caisr_respiratory_mean_resp_duration,-0.0462713378445848
I0006,47,caisr_limb_limb_movement_index,0.489622724046799
I0006,47,caisr_limb_plmi,-0.20811235023372845
S0001,7,age,0.6466859327499697
S0001,7,sex_Female,-0.100300023668026
S0001,7,sex_Male,0.100300023668026
S0001,7,sex_OtherUnknown,0.0
S0001,7,race_Asian,-0.06760470586442953
S0001,7,race_Black,0.10276430325456098
S0001,7,race_Others,-0.05396103783161002
S0001,7,race_Unavailable,0.038336140150366405
S0001,7,race_White,-0.07825221639196715
S0001,7,BMI,-0.2946437115887048
S0001,7,caisr_sleep_tst_sec,0.17772101746605742
S0001,7,caisr_sleep_se,-0.020458096894985622
S0001,7,caisr_sleep_sol_sec,0.2520635837043192
S0001,7,caisr_sleep_rem_latency_sec,0.08908324433632954
S0001,7,caisr_sleep_waso_sec,0.170987447761747
S0001,7,caisr_sleep_n1_pct,-0.21289562764436012
S0001,7,caisr_sleep_n2_pct,-0.43498244976101613
S0001,7,caisr_sleep_n3_pct,-0.5718981977916787
S0001,7,caisr_sleep_rem_pct,-0.38670110137389546
S0001,7,caisr_sleep_transition_rate,-0.2858848365983405
